no,date,Num1,Num2,Num3,Num4,Num5,Num6,bnsNum,magicNo
1,2002-12-07,10,23,29,33,37,40,16,136443
2,2002-12-14,9,13,21,25,32,42,2,484710
3,2002-12-21,11,16,19,21,27,31,30,53264
4,2002-12-28,14,27,30,31,40,42,2,133192
5,2003-01-04,16,24,29,40,41,42,3,851111
6,2003-01-11,14,15,26,27,40,42,34,1111132
7,2003-01-18,2,9,16,25,26,40,42,779114
8,2003-01-25,8,19,25,34,37,39,9,116932
9,2003-02-01,2,4,16,17,36,39,14,2121193
10,2003-02-08,9,25,30,33,41,44,6,165383
11,2003-02-15,1,7,36,37,41,42,14,629141
12,2003-02-22,2,11,21,25,39,45,44,9104146
13,2003-03-01,22,23,25,37,38,42,26,121214
14,2003-03-08,2,6,12,31,33,40,15,461927
15,2003-03-15,3,4,16,30,31,37,13,1121416
16,2003-03-22,6,7,24,37,38,40,33,1171312
17,2003-03-29,3,4,9,17,32,37,1,158155
18,2003-04-05,3,12,13,19,32,35,29,916133
19,2003-04-12,6,30,38,39,40,43,26,248113
20,2003-04-19,10,14,18,20,23,30,41,44237
21,2003-04-26,6,12,17,18,31,32,21,651131
22,2003-05-03,4,5,6,8,17,39,25,112922
23,2003-05-10,5,13,17,18,33,42,44,841159
24,2003-05-17,7,8,27,29,36,43,6,119277
25,2003-05-24,2,4,21,26,43,44,16,2175171
26,2003-05-31,4,5,7,18,20,25,31,121125
27,2003-06-07,1,20,26,28,37,43,27,196296
28,2003-06-14,9,18,23,25,35,37,1,952102
29,2003-06-21,1,5,13,34,39,40,11,482151
30,2003-06-28,8,17,20,35,36,44,4,931518
31,2003-07-05,7,9,18,23,28,35,32,29557
32,2003-07-12,6,14,19,25,34,44,11,856910
33,2003-07-19,4,7,32,33,40,41,9,325171
34,2003-07-26,9,26,35,37,40,42,2,179232
35,2003-08-02,2,3,11,26,37,43,39,1815116
36,2003-08-09,1,10,23,26,28,40,31,9133212
37,2003-08-16,7,27,30,33,35,37,42,203322
38,2003-08-23,16,17,22,30,37,43,36,15876
39,2003-08-30,6,7,13,15,21,43,8,162622
40,2003-09-06,7,13,18,19,25,26,6,65161
41,2003-09-13,13,20,23,35,38,43,34,731235
42,2003-09-20,17,18,19,21,23,32,1,11229
43,2003-09-27,6,31,35,38,39,44,1,254315
44,2003-10-04,3,11,21,30,38,45,39,810987
45,2003-10-11,1,10,20,27,33,35,17,910762
46,2003-10-18,8,13,15,23,31,38,39,52887
